分類,牌子,貨品,惠康,百佳,Market Place,永旺,大昌食品,最後更新日期
小食,四洲 Four Seas,紫菜蝦餅 36克, $ 3.70,$ 3.50, $ 3.70,--,--,2015-10-07
小食,旺旺 Want Want,燒米餅 72克, $ 7.80,$ 7.20,--,--,--,2015-10-07
小食,旺旺 Want Want,仙貝香米餅 56克, $ 6.50,$ 6.30,--,--,--,2015-10-07
小食,旺旺 Want Want,雪餅 72克, $ 7.80,$ 7.20,$ 7.80,--,--,2015-10-07
小食,童星 Baby Star,點心麵 - 雞肉味 50克, $ 4.70, $ 4.50, $ 4.70,--,--,2015-10-07
小食,童星 Baby Star,點心麵 - 炒麵味 45克, $ 4.70, $ 4.50, $ 4.70,--,--,2015-10-07
小食,藍鑽石 Blue Diamond,罐裝蜜糖杏仁 150克,$ 43.90,$ 43.90,$ 45.50,$ 37.90,--,2015-10-07
小食,蝴蝶牌 Butterfly,精選什果仁 280克,--,$ 39.50,--,--,--,2015-10-07
米,桜城牌 (櫻城牌) Cherry Blossom Castle Brand,日本品種珍珠米 2公斤,--,--,--,$ 29.90,--,2015-10-07
米,桜城牌 (櫻城牌) Cherry Blossom Castle Brand,日本品種珍珠米 5公斤,$ 55.90,--,$ 55.90,$ 52.90,$ 53.90,2015-10-07
米,桜城牌 (櫻城牌) Cherry Blossom Castle Brand,日本品種珍珠米 8公斤,$ 83.90,--,--,--,--,2015-10-07
米,雙羊牌 Double Ram,澳洲百搭米王 2公斤,$ 38.90,$ 38.90,$ 38.90,--,--,2015-10-07
米,雙羊牌 Double Ram,澳洲百搭米王 5公斤,$ 64.00,$ 65.90,$ 66.00,--,--,2015-10-07
米,泰妃 Empress Thai,特級純正泰國茉莉香米 15公斤,--,$ 159.90,--,--,--,2015-10-07
米,泰妃 Empress Thai,特級純正泰國茉莉香米 5公斤,--,$ 69.90,--,--,--,2015-10-07
米,泰妃 Empress Thai,特級純正泰國茉莉香米 8公斤,--,$ 89.90,--,--,--,2015-10-07
米,金靈芝 Gam Ling Zhi,泰國香米 (茉莉香米) 5公斤,--,$ 69.90,--,--,--,2015-10-07
米,金靈芝 Gam Ling Zhi,泰國香米 (茉莉香米) 8公斤,--,$ 99.90,--,--,--,2015-10-07
米,金舫牌 Golden Boat Brand,水晶米 8公斤,--,--,--,--,$ 69.90,2015-10-07
米,金冠牌 Golden Crown,澳洲絲苗米王 5公斤,$ 59.90,--,$ 61.70,--,--,2015-10-07
米,金象牌 Golden Elephant Brand,珍珠米 5公斤,--,$ 66.90,--,--,--,2015-10-07
米,金象牌 Golden Elephant Brand,珍珠米 8公斤,--,--,--,--,$ 94.90,2015-10-07
米,金象牌 Golden Elephant Brand,頂上茉莉香米 2公斤,--,--,--,$ 34.90,--,2015-10-07
米,金象牌 Golden Elephant Brand,頂上茉莉香米 5公斤,$ 57.90,$ 57.90,$ 57.90,$ 57.90,$ 57.90,2015-10-07
米,金象牌 Golden Elephant Brand,頂上茉莉香米 8公斤, $ 89.90, $ 89.90, $ 92.90,$ 89.90,$ 83.50,2015-10-07
米,金象牌 Golden Elephant Brand,維他命茉莉香米 5公斤,$ 57.90,--,$ 59.90,--,--,2015-10-07
米,金滿泰 Golden Grand,頂級茉莉香米 5公斤,--,$ 59.90,--,--,--,2015-10-07
米,金鳳 (聚大行) Golden Phoenix,泰國頂級香米 10公斤,$ 139.90,--,$ 139.90,--,--,2015-10-07
米,金鳳 (聚大行) Golden Phoenix,泰國頂級香米 5公斤,$ 75.90,--,$ 75.90,--,--,2015-10-07
米,金鳳 (鉅發源) Golden Phoenix,(米王之皇) 純正泰國頂級金鳳香米 15公斤,--,$ 215.00,--,--,--,2015-10-07
米,金鳳 (鉅發源) Golden Phoenix,(米王之皇) 純正泰國頂級金鳳香米 2公斤,--,$ 34.90,--,--,--,2015-10-07
米,金鳳 (鉅發源) Golden Phoenix,(米王之皇) 純正泰國頂級金鳳香米 5公斤,--, $ 69.90,--,--,--,2015-10-07
米,金鳳 (鉅發源) Golden Phoenix,(米王之皇) 純正泰國頂級金鳳香米 8公斤,--,$ 114.90,--,--,--,2015-10-07
米,金香 Kam Heung,茉莉香米王 5公斤,$ 49.90,--,$ 51.50,--,$ 50.00,2015-10-07
米,金香 Kam Heung,茉莉香米王 8公斤,$ 84.90,--,$ 84.90,--,$ 79.90,2015-10-07
米,袋鼠牌 Kangaroo Brand,精選絲苗米 5公斤,$ 49.90,--,$ 51.50,--,--,2015-10-07
米,袋鼠牌 Kangaroo Brand,精選絲苗米 8公斤,$ 84.90,$ 84.90,$ 84.90,--,$ 79.90,2015-10-07
米,熊井 Kumai,美國珍珠米 3公斤,$ 46.90,--,$ 48.40,--,--,2015-10-07
米,廣新 Kwong Sun,金裝泰國香米 5公斤,--,--,--,$ 75.90,--,2015-10-07
米,好運牌 Lucky Brand,特選優質香米 5公斤,$ 51.90,--,$ 51.90,--,--,2015-10-07
米,好運牌 Lucky Brand,特選優質香米 8公斤,$ 80.90,--,$ 80.90,--,--,2015-10-07
米,錦字米 Nishiki Brand,最高級特撰米 (5磅) 2.26公斤,--,$ 86.50,$ 85.00,--,--,2015-10-07
米,香飯王 Rice King,頂級優質香米 5公斤,$ 55.90,--,$ 57.60,--,--,2015-10-07
米,香飯王 Rice King,頂級優質香米 8公斤,$ 78.90,--,--,--,--,2015-10-07
米,皇族白象 Royal Elephant,泰國香米 5公斤,--,--,--,$ 57.90,--,2015-10-07
米,皇族金輝 Royal Umbrella,泰國茉莉香米 8公斤,--,$ 92.90,--,--,--,2015-10-07
米,皇族金輝 Royal Umbrella,特級泰國食米 8公斤,--,--,--,--,--,2015-10-07
米,銀花 Silver Blossom,靚米 5公斤,$ 37.90,--,--,--,--,2015-10-07
米,銀花 Silver Blossom,靚米 8公斤,$ 56.90,--,--,--,--,2015-10-07
米,貴族米 Silver Spoon,泰國茉莉香米 5公斤,--,$ 62.90,--,--,--,2015-10-07
米,貴族米 Silver Spoon,泰國茉莉香米 8公斤,--,$ 89.90,--,--,--,2015-10-07
米,金田禾 Tinnmi Sushi,珍珠米 1.5公斤,--,$ 32.90,--,--,--,2015-10-07
米,金田禾 Tinnmi Sushi,珍珠米 5公斤,--,$ 59.90,--,--,--,2015-10-07
米,得寶 Treasure,精選香米 8公斤,$ 58.90,--,$ 60.90,--,--,2015-10-07
米,白馬 White Horse,貢品馬壩油粘米 5公斤,$ 55.90,--,--,--,--,2015-10-07
米,白馬 White Horse,貢品馬壩油粘米 8公斤,$ 69.90,--,--,--,--,2015-10-07
米,金象牌 Golden Elephant Brand,頂上泰國糙香米 2公斤,--,--,--,$ 39.90,$ 40.90,2015-10-07
米,金象牌 Golden Elephant Brand,頂上泰國紅米 2公斤,--,--,--,$ 39.90,$ 40.90,2015-10-07
米,金滿泰 Golden Grand,頂級泰國三色米 (紅米、糙米、茉莉香米) 1.5公斤,--,$ 39.90,--,--,--,2015-10-07
米,金鳳 (鉅發源) Golden Phoenix,(米王之皇) 香糙米 1.5公斤,--,$ 32.80,--,--,--,2015-10-07
米,金鳳 (鉅發源) Golden Phoenix,(米王之皇) 紅米 1.5公斤,--,$ 34.90,--,--,--,2015-10-07
米,金鳳香米 (鉅發源) Golden Phoenix,有機香糙米 1公斤,--,$ 49.90,--,--,--,2015-10-07
米,金鳳香米 (鉅發源) Golden Phoenix,有機紅香米 1公斤,--,$ 51.90,--,--,--,2015-10-07
米,點點綠 Green Dot Dot,有機長糙米 1公斤,$ 38.90,--,$ 38.90,--,--,2015-10-07
米,點點綠 Green Dot Dot,有機短糙米 1公斤,$ 34.90,--,$ 36.00,--,--,2015-10-07
米,廣新 Kwong Sun,泰國紅香米 1公斤,--,--,--,$ 29.50,--,2015-10-07
米,廣新 Kwong Sun,泰國紅米 1公斤,--,--,--,$ 29.50,--,2015-10-07
米,廣新 Kwong Sun,泰國紅米 2公斤,--,--,--,$ 53.50,--,2015-10-07
米,好運牌 Lucky Brand,健盈米 2公斤,$ 33.80,--,--,--,--,2015-10-07
米,好運牌 Lucky Brand,健味米 2公斤,$ 35.80,--,--,--,--,2015-10-07
米,三好米 San Hao Rice,五穀米 1.8公斤,$ 59.90,--,$ 59.90,--,--,2015-10-07
米,三好米 San Hao Rice,糙米 2公斤,$ 48.90,--,$ 48.90,--,--,2015-10-07
米,廣新 Kwong Sun,健康燕麥米 1公斤,--,$ 39.90,--,--,--,2015-10-07
米,金象牌 Golden Elephant Brand,頂上泰國糯米 2公斤,--,--,--,$ 29.90,--,2015-10-07
米,廣新 Kwong Sun,泰國白糯米 2公斤,--,--,--,$ 41.90,--,2015-10-07
食用油,駱駝嘜 Camel Brand,特香純正花生油 5公升,$ 139.90,--,--,--,--,2015-10-07
食用油,駱駝嘜 Camel Brand,花生油 900毫升 x 3,$ 89.90,--,--,--,--,2015-10-07
食用油,刀嘜 Knife,純正花生油 1公升,--,--,--,$ 41.90,--,2015-10-07
食用油,刀嘜 Knife,純正花生油 3公升,$ 95.90,$ 95.90,--,--,--,2015-10-07
食用油,刀嘜 Knife,純正花生油 5.5公升,--,--,--,--,--,2015-10-07
食用油,刀嘜 Knife,純正花生油 5公升,$ 149.90,$ 149.90,--,--,--,2015-10-07
食用油,刀嘜 Knife,純正花生油 750毫升,--,$ 37.90,--,--,--,2015-10-07
食用油,刀嘜 Knife,純正花生油 900毫升 x 3,$ 95.90,$ 95.90,$ 95.90,--,$ 85.90,2015-10-07
食用油,刀嘜 Knife,金裝濃香花生油 5公升,$ 159.90,$ 159.90,--,--,--,2015-10-07
食用油,刀嘜 Knife,金裝濃香花生油 900毫升 x 3,$ 119.90,$ 119.90,--,--,--,2015-10-07
食用油,獅球嘜 Lion & Globe,初搾濃香花生油 900毫升 x 3,$ 109.90,$ 109.90,--,--,--,2015-10-07
食用油,獅球嘜 Lion & Globe,花生油 1公升,--,--,--,$ 45.90,--,2015-10-07
食用油,獅球嘜 Lion & Globe,花生油 2公升,$ 79.90,$ 79.90,$ 92.90,--,--,2015-10-07
食用油,獅球嘜 Lion & Globe,花生油 3公升,$ 107.90,--,--,--,--,2015-10-07
食用油,獅球嘜 Lion & Globe,花生油 5公升,$ 139.90,$ 139.90,--,--,--,2015-10-07
食用油,獅球嘜 Lion & Globe,花生油 900毫升 x 3,$ 83.90,$ 83.90,$ 83.90,--,$ 92.90,2015-10-07
食用油,寶鼎 Tripod Brand,花生油 5公升,--,$ 135.90,--,--,--,2015-10-07
食用油,寶鼎 Tripod Brand,花生油 6.6公升,--,--,--,--,$ 169.90,2015-10-07
食用油,寶鼎 Tripod Brand,純正花生油 900毫升 x 3,--,--,--,$ 79.90,$ 81.90,2015-10-07
食用油,麒麟 Unicorn,濃香花生油 5公升,--,$ 139.90,--,--,--,2015-10-07
食用油,刀嘜 Knife,高健高油酸配方花生油 900毫升 x 3,--,$ 113.90,--,--,--,2015-10-07
食用油,刀嘜 Knife,特級香醇花生食油 5公升,$ 129.90,--,--,--,--,2015-10-07
食用油,刀嘜 Knife,特級香醇花生食油 900毫升 x 3,--,$ 79.90,--,--,--,2015-10-07
食用油,駱駝嘜 Camel Brand,栗米油 900毫升 x 3,$ 69.90,--,--,--,--,2015-10-07
食用油,刀嘜 Knife,純正栗米油 3公升,--,$ 99.90,--,--,--,2015-10-07
食用油,刀嘜 Knife,純正栗米油 5.5公升,--,--,--,--,--,2015-10-07
食用油,刀嘜 Knife,純正栗米油 5公升,$ 109.90,$ 109.90,--,--,--,2015-10-07
食用油,刀嘜 Knife,純正栗米油 900毫升 x 3,$ 75.90,$ 75.90,$ 75.90,--,$ 78.90,2015-10-07
食用油,獅球嘜 Lion & Globe,栗米油 600毫升,$ 27.90,--,$ 28.90,--,--,2015-10-07
食用油,獅球嘜 Lion & Globe,栗米油 750毫升,--,$ 34.90,--,$ 27.90,--,2015-10-07
食用油,獅球嘜 Lion & Globe,栗米油 900毫升 x 3,$ 69.90,$ 69.90,$ 69.90,--,$ 72.90,2015-10-07
食用油,獅球嘜 Lion & Globe,栗米油 1公升,--,--,--,--,--,2015-10-07
食用油,獅球嘜 Lion & Globe,栗米油 2公升,$ 65.90,$ 65.90,--,--,--,2015-10-07
食用油,獅球嘜 Lion & Globe,栗米油 3公升,$ 85.90,--,--,--,--,2015-10-07
食用油,獅球嘜 Lion & Globe,栗米油 5公升,$ 107.90,$ 107.90,--,--,--,2015-10-07
食用油,萬歲 Mazola,粟米油 3.5公升,$ 105.50,$ 105.50,$ 105.50,--,--,2015-10-07
食用油,萬歲 Mazola,粟米油 900毫升,$ 37.90,$ 37.90,$ 39.10,--,--,2015-10-07
食用油,萬歲 Mazola,粟米油 900毫升 x 3,$ 79.90,$ 79.90,--,--,--,2015-10-07
食用油,寶鼎 Tripod Brand,粟米油 6.6公升,--,--,--,--,$ 119.90,2015-10-07
食用油,寶鼎 Tripod Brand,純正粟米油 900毫升,--,--,--,$ 23.90,--,2015-10-07
食用油,寶鼎 Tripod Brand,純正粟米油 900毫升 x 3,--,--,--,--,$ 65.90,2015-10-07
食用油,駱駝嘜 Camel Brand,純正芥花籽油 5公升,$ 89.90,--,--,--,--,2015-10-07
食用油,駱駝嘜 Camel Brand,芥花籽油 900毫升 x 3,$ 58.90,--,--,--,--,2015-10-07
食用油,刀嘜 Knife,純正芥花籽油 3公升,--,$ 95.90,--,--,--,2015-10-07
食用油,刀嘜 Knife,純正芥花籽油 750毫升,--,$ 32.90,--,--,--,2015-10-07
食用油,刀嘜 Knife,純正芥花籽油 900毫升 x 3,$ 69.90,$ 69.90,$ 72.90,--,$ 69.90,2015-10-07
食用油,獅球嘜 Lion & Globe,芥花籽油 1公升,--,--,--,$ 35.90,--,2015-10-07
食用油,獅球嘜 Lion & Globe,芥花籽油 2公升,$ 59.90,$ 59.90,$ 61.70,--,--,2015-10-07
食用油,獅球嘜 Lion & Globe,芥花籽油 3公升,$ 75.90,--,--,--,--,2015-10-07
食用油,獅球嘜 Lion & Globe,芥花籽油 5公升,$ 99.90,$ 99.90,--,--,--,2015-10-07
食用油,獅球嘜 Lion & Globe,芥花籽油 750毫升,--,$ 33.90,--,--,--,2015-10-07
食用油,獅球嘜 Lion & Globe,芥花籽油 900毫升 x 3,$ 65.90,$ 65.90,$ 65.90,--,$ 62.90,2015-10-07
食用油,萬歲 Mazola,芥花籽油 3.5公升,$ 98.90,$ 98.90,$ 101.90,--,--,2015-10-07
食用油,萬歲 Mazola,芥花籽油 900毫升,--,$ 35.90,$ 35.90,--,--,2015-10-07
食用油,萬歲 Mazola,芥花籽油 900毫升 x 3,--,$ 79.90,--,--,--,2015-10-07
食用油,寶鼎 Tripod Brand,純正芥花籽油 900毫升 x 3,--,$ 54.90,--,$ 49.90,$ 54.90,2015-10-07
食用油,威臣 Wesson,芥花籽油 (48安士) 1.42公升,$ 55.00,$ 55.00,$ 56.70,--,--,2015-10-07
食用油,保得 Bontaste,初搾橄欖芥花籽油 3公升,$ 79.90,--,--,--,--,2015-10-07
食用油,刀嘜 Knife,初搾橄欖芥花籽油 3公升,--,$ 99.00,--,--,--,2015-10-07
食用油,刀嘜 Knife,初搾橄欖芥花籽油 900毫升 x 3,$ 99.90,$ 99.90,--,--,--,2015-10-07
食用油,刀嘜 Knife,奧美加3芥花亞麻籽油 900毫升 x 2,$ 59.90,$ 62.90,$ 61.70,--,--,2015-10-07
食用油,獅球嘜 Lion & Globe,DHA 芥花籽油 750毫升,$ 23.90,--,--,$ 30.90,--,2015-10-07
食用油,獅球嘜 Lion & Globe,DHA 芥花籽油 900毫升 x 2,$ 55.90,$ 55.90,--,--,--,2015-10-07
食用油,獅球嘜 Lion & Globe,初搾橄欖芥花籽油 3公升,$ 95.90,$ 95.90,$ 109.50,--,--,2015-10-07
食用油,獅球嘜 Lion & Globe,初搾橄欖芥花籽油 750毫升,--,$ 37.90,--,$ 37.90,--,2015-10-07
食用油,獅球嘜 Lion & Globe,初搾橄欖芥花籽油 900毫升 x 3,$ 79.90,$ 79.90,$ 79.90,--,--,2015-10-07
食用油,獅球嘜 Lion & Globe,葡萄芥花籽油 750毫升,$ 32.90,--,--,--,--,2015-10-07
食用油,獅球嘜 Lion & Globe,葡萄芥花籽油 900毫升 x 2,$ 59.90,$ 59.90,$ 61.70,--,--,2015-10-07
食用油,獅球嘜 Lion & Globe,花生香味健康食油 900毫升 x 3,--,$ 79.90,--,--,--,2015-10-07
食用油,保得 Bontaste,葵花籽油 1公升,--,--,--,$ 23.90,--,2015-10-07
食用油,保得 Bontaste,葵花籽油 3公升,--,$ 69.90,--,--,--,2015-10-07
食用油,保得 Bontaste,橄欖葵花籽油 3公升,$ 79.90,$ 79.90,--,$ 77.90,$ 83.90,2015-10-07
食用油,刀嘜 Knife,初搾橄欖葵花籽油 3公升,--,$ 115.90,--,--,--,2015-10-07
食用油,刀嘜 Knife,初搾橄欖葵花籽油 750毫升,--,--,--,$ 39.90,--,2015-10-07
食用油,刀嘜 Knife,初搾橄欖葵花籽油 900毫升 x 3,--,$ 103.90,--,--,--,2015-10-07
食用油,刀嘜 Knife,葡萄葵花籽油 750毫升 x 2,$ 59.90,$ 62.90,$ 61.70,--,--,2015-10-07
食用油,獅球嘜 Lion & Globe,初搾橄欖葵花籽油 3公升,$ 109.90,$ 109.90,$ 119.50,--,--,2015-10-07
食用油,獅球嘜 Lion & Globe,初搾橄欖葵花籽油 900毫升 x 3,$ 99.90,$ 99.90,--,$ 99.90,--,2015-10-07
食用油,保得 Bontaste,葡萄籽油 1公升,$ 54.90,$ 49.90,--,$ 52.90,$ 49.90,2015-10-07
食用油,百益 Filippo Berio,葡萄籽油 750毫升,$ 49.90,$ 49.90,$ 51.40,--,--,2015-10-07
食用油,奧尼 Olitalia,葡萄籽油 1公升,$ 79.90,$ 85.40,--,--,--,2015-10-07
食用油,百得利 Bertolli,特純初搾橄欖油 Extra Virgin 1公升,$ 114.90,$ 114.90,$ 118.50,--,--,2015-10-07
食用油,百得利 Bertolli,特純初搾橄欖油 Extra Virgin 250毫升,--,$ 44.90,--,--,--,2015-10-07
食用油,百得利 Bertolli,特純初搾橄欖油 Extra Virgin 500毫升,$ 57.50,$ 57.50,$ 59.30,--,--,2015-10-07
食用油,樂家 Colavita,特級初榨橄欖油 1公升,--,$ 108.00,--,--,--,2015-10-07
食用油,樂家 Colavita,特級初搾橄欖油 500毫升,--,$ 60.90,--,$ 88.90,--,2015-10-07
食用油,百益 Filippo Berio,初榨純橄欖油 1公升,$ 99.90,$ 99.90,$ 102.90,$ 95.90,--,2015-10-07
食用油,百得利 Bertolli,純正橄欖油 Classico 1公升,$ 91.90,$ 91.90,$ 94.90,--,--,2015-10-07
食用油,百得利 Bertolli,純正橄欖油 Classico 250毫升,$ 36.90,$ 36.90,$ 38.10,--,--,2015-10-07
食用油,百得利 Bertolli,純正橄欖油 Classico 500毫升,--,$ 58.50,--,--,--,2015-10-07
食用油,樂家 Colavita,橄欖油 1公升,--,$ 94.90,--,--,--,2015-10-07
食用油,百益 Filippo Berio,橄欖油 1公升,$ 95.90,$ 89.90,$ 98.80,$ 89.90,--,2015-10-07
食用油,獅球嘜 Lion & Globe,純正橄欖油 1公升,$ 66.90,--,--,--,--,2015-10-07
食用油,獅球嘜 Lion & Globe,純正橄欖油 500毫升,$ 36.90,--,$ 38.10,--,--,2015-10-07
食用油,百得利 Bertolli,清淡橄欖油 Extra Light 1公升,$ 103.50,$ 103.50,$ 106.90,--,--,2015-10-07
食用油,百得利 Bertolli,清淡橄欖油 Extra Light 500毫升,$ 62.90,$ 62.90,$ 64.80,--,--,2015-10-07
食用油,百益 Filippo Berio,清淡橄欖油 1公升,$ 89.90,$ 89.90,$ 92.60,--,--,2015-10-07
食用油,獅球嘜 Lion & Globe,清淡橄欖油 1公升,$ 69.90,--,$ 72.00,--,--,2015-10-07
食用油,保得 Bontaste,橄欖果渣油 1公升,--,--,--,$ 39.90,--,2015-10-07
食用油,保得 Bontaste,橄欖果渣油 1公升 x 2,$ 79.90,$ 79.90,--,--,$ 85.90,2015-10-07
食用油,保得 Bontaste,橄欖果渣油 2公升,$ 79.90,$ 79.90,--,--,--,2015-10-07
食用油,駱駝嘜 Camel Brand,混合油橄欖果渣油 Pomace Olive Oil 1公升 x 2,$ 79.90,--,$ 82.30,--,--,2015-10-07
食用油,奧尼 Olitalia,米糠油 1公升,--,$ 87.70,--,$ 86.00,--,2015-10-07
食用油,駱駝嘜 Camel Brand,特級食油 900毫升 x 3,$ 65.90,--,--,--,--,2015-10-07
食用油,威臣 Wesson,菜油 (48安士) 1.42公升,$ 55.00,$ 56.90,$ 56.70,--,--,2015-10-07
罐頭食品,金龍牌 Golden Dragon Brand,火腿餐肉 340克, $ 20.50,$ 17.90,--,$ 17.90,--,2015-10-07
罐頭食品,長城牌 Greatwall,火腿豬肉 198克, $ 12.90, $ 12.20, $ 12.90,--,$ 11.90,2015-10-07
罐頭食品,長城牌 Greatwall,火腿豬肉 340克, $ 20.90, $ 19.40, $ 20.90,$ 19.90,$ 18.90,2015-10-07
罐頭食品,長城牌 Greatwall,火腿豬肉 397克,$ 20.90,$ 22.90,$ 20.90,--,--,2015-10-07
罐頭食品,天壇牌 Heaven Temple,火腿豬肉 198克,$ 12.50,$ 12.50,$ 12.50,$ 12.00,$ 12.30,2015-10-07
罐頭食品,天壇牌 Heaven Temple,火腿豬肉 340克,$ 20.50,$ 20.50,$ 20.50,$ 19.90,$ 18.90,2015-10-07
罐頭食品,天壇牌 Heaven Temple,火腿豬肉 397克,$ 22.50,$ 22.50,--,--,--,2015-10-07
罐頭食品,荷美爾 Hormel,午餐肉 (12安士) 340克,$ 28.50, $ 29.90,$ 28.50,$ 29.50,--,2015-10-07
罐頭食品,荷美爾 Spam,火腿午餐肉 - 25% Less Sodium (7安士) 198克,$ 24.50,$ 24.50,$ 24.50,$ 25.40,--,2015-10-07
罐頭食品,荷美爾 Spam,火腿午餐肉 - Lite (低脂) 25% Less Fat (12安士) 340克,$ 39.90,$ 39.90,$ 39.90,--,--,2015-10-07
罐頭食品,梅林 Ma Ling,午餐肉 170克 x 3,$ 23.50,$ 23.50,$ 23.50,--,--,2015-10-07
罐頭食品,梅林 Ma Ling,午餐肉 198克, $ 17.80,$ 9.50, $ 17.80,$ 9.00,--,2015-10-07
罐頭食品,梅林 Ma Ling,午餐肉 397克, $ 27.60,$ 13.90, $ 27.60,--,--,2015-10-07
罐頭食品,梅林 Ma Ling,優質火腿午餐肉 397克,$ 19.90,$ 19.90,--,--,--,2015-10-07
罐頭食品,三花牌 Tulip,火腿餐肉 200克,$ 24.50,$ 24.70,$ 25.30,$ 21.50,--,2015-10-07
罐頭食品,三花牌 Tulip,火腿餐肉 340克,$ 28.50,$ 28.50,--,$ 33.90,--,2015-10-07
罐頭食品,三花牌 Tulip,午餐豬肉 200克,$ 15.80,$ 15.80,--,$ 14.90,--,2015-10-07
罐頭食品,三花牌 Tulip,午餐豬肉 340克,$ 21.20,$ 21.20,$ 21.90,--,--,2015-10-07
罐頭食品,古龍牌 Gulong,五香肉丁 142克,$ 13.90,$ 13.90,$ 14.40,--,--,2015-10-07
罐頭食品,水仙花牌 Narcissus,五香肉丁 142克, $ 22.60, $ 13.50, $ 22.60,--,--,2015-10-07
罐頭食品,梅林 Ma Ling,榨菜肉絲 240克,$ 15.80,$ 12.50,$ 16.30,--,--,2015-10-07
罐頭食品,梅林 Ma Ling,回鍋肉 (豬肉筍片) 198克,$ 13.50,$ 12.50,$ 14.00,$ 12.50,$ 11.30,2015-10-07
罐頭食品,三花牌 Tulip,10條裝熱狗腸 (純豬肉腸) 250克,$ 26.60,$ 26.60,--,$ 24.50,--,2015-10-07
罐頭食品,三花牌 Tulip,雞尾腸 (純豬肉腸) 250克,$ 26.90,$ 26.90,--,--,--,2015-10-07
罐頭食品,地捫 Del Monte,茄汁沙甸魚 215克,$ 16.90,$ 16.90,$ 17.50,--,--,2015-10-07
罐頭食品,地捫 Del Monte,茄汁沙甸魚 425克,$ 25.90, $ 26.90,$ 26.70,$ 29.90,--,2015-10-07
罐頭食品,尊西 John West,油浸沙甸 120克,--,$ 19.90,$ 22.50,--,--,2015-10-07
罐頭食品,葡國老人牌 Porthos,欖油沙甸魚 125克,$ 18.20,$ 18.20,$ 18.60,--,--,2015-10-07
罐頭食品,西洋女皇牌 Queen of the Coast,油浸沙甸魚 125克,--,$ 9.50,--, $ 13.90,$ 14.20,2015-10-07
罐頭食品,紅圈牌 Red Marubean,油浸沙甸 125克, $ 14.50, $ 11.90,--, $ 12.90,--,2015-10-07
罐頭食品,紅圈牌 Red Marubean,辣椒沙甸 125克, $ 14.50, $ 11.90,--, $ 12.90,--,2015-10-07
罐頭食品,紅圈牌 Red Marubean,茄汁沙甸 110克,$ 11.50,$ 11.50,$ 11.50,$ 11.50,--,2015-10-07
罐頭食品,鷹金錢 Eagle Coin,金獎豆豉鯪魚 184克,$ 18.90,$ 18.90,--,$ 19.90,--,2015-10-07
罐頭食品,甘竹牌 Ganzhu Brand,豆豉鯪魚 227克,$ 17.90, $ 17.90,--,--,$ 18.90,2015-10-07
罐頭食品,珠江橋牌 Pearl River Bridge,鮮炸鯪魚 227克,$ 23.90,$ 23.90,--,--,--,2015-10-07
罐頭食品,珠江橋牌 Pearl River Bridge,豆豉鯪魚 150克, $ 24.40,--,--,--,--,2015-10-07
罐頭食品,珠江橋牌 Pearl River Bridge,豆豉鯪魚 227克,$ 20.90,--,--,--,--,2015-10-07
罐頭食品,雄雞標 Ayam Brand,礦泉水浸吞拿魚 185克,$ 22.90,$ 22.90,$ 22.90,--,--,2015-10-07
罐頭食品,美味牌 B&F,葵花籽油浸吞拿魚 185克,$ 18.50,$ 18.50,$ 19.10,--,--,2015-10-07
罐頭食品,紅圈牌 Red Marubean,辣椒魚柳 120克, $ 15.80, $ 15.00,--, $ 12.90,--,2015-10-07
罐頭食品,阿一 Ah Yat,蠔皇鮑魚 (10隻裝) 420克,--, $ 418.00,$ 418.00,--,--,2015-10-07
罐頭食品,阿一 Ah Yat,蠔皇鮑魚 (8隻裝) 420克,--, $ 468.00,--,--,--,2015-10-07
罐頭食品,地捫 Del Monte,糖水波蘿片 567克,$ 15.50,$ 15.90,$ 16.00,--,--,2015-10-07
罐頭食品,地捫 Del Monte,糖水波蘿片 836克,$ 16.90, $ 17.00,$ 17.50,$ 19.50,--,2015-10-07
罐頭食品,都樂 Dole,菠蘿片 234克,$ 6.50,$ 6.50,$ 6.50,--,--,2015-10-07
罐頭食品,特別好 S&W,糖水波蘿片 836克,$ 16.90,$ 16.90,$ 17.50,$ 16.90,--,2015-10-07
罐頭食品,地捫 Del Monte,金黃粟米粒 - 罐裝 312克,$ 16.50,$ 17.80,$ 17.00,--,--,2015-10-07
罐頭食品,綠巨人 Green Giant,粟米粒 - 天然特甜 340克,$ 15.90,$ 15.90,$ 15.90,--,--,2015-10-07
罐頭食品,地捫 Del Monte Fresh Cut,忌廉黃粟蓉 - 罐裝 418克,$ 8.10, $ 9.50,$ 8.10,--,--,2015-10-07
罐頭食品,特別好 S&W,忌廉黃粟蓉 425克,$ 7.90,$ 7.90,$ 7.90,$ 6.90,--,2015-10-07
罐頭食品,億萬牌 Eman's Brand,整粒草菇 (精選級) 425克,--,$ 9.50,--,--,--,2015-10-07
罐頭食品,地捫 Del Monte,半邊桃 825克,$ 21.90, $ 21.90,$ 22.60,--,--,2015-10-07
罐頭食品,地捫 Del Monte,熱帶雜果 439克,$ 12.90,$ 13.50,--,--,--,2015-10-07
罐頭食品,地捫 Del Monte,熱帶雜果 850克,$ 16.90, $ 17.00,$ 17.50,--,--,2015-10-07
罐頭食品,特別好 S&W,熱帶雜果 439克,$ 10.90,$ 10.90,--,--,--,2015-10-07
